timestamp,sequence_index,method_id,hex_method_id,method_name,role,payload_hex,payload_len,response_received,msg_type,retcode,verdict,latency_ms,response_payload_hex,error
12:51:50.258,1,1,0x0001,getConsumptionAttribute,getter,,0,True,0x80,0x00,normal_response,6.597,40900000,
12:51:50.265,2,2,0x0002,getCapacityAttribute,getter,,0,True,0x80,0x00,normal_response,6.148,c8,
12:51:50.281,3,3,0x0003,getVolumeAttribute,getter,,0,True,0x80,0x00,normal_response,15.918,427a2e2f,
12:51:50.288,4,4,0x0004,getEngineSpeedAttribute,getter,,0,True,0x80,0x00,normal_response,6.044,07d0,
12:51:50.294,5,5,0x0005,getCurrentGearAttribute,getter,,0,True,0x80,0x00,normal_response,5.981,05,
12:51:50.301,6,6,0x0006,getIsReverseGearOnAttribute,getter,,0,True,0x80,0x00,normal_response,5.963,00,
12:51:50.307,7,7,0x0007,getDrivePowerTransmissionAttribute,getter,,0,True,0x80,0x00,normal_response,6.027,02,
12:51:50.314,8,8,0x0008,getDoorsOpeningStatusAttribute,getter,,0,True,0x80,0x00,normal_response,5.976,00000000,
12:51:50.320,9,9,0x0009,getSeatHeatingStatusAttribute,getter,,0,True,0x80,0x00,normal_response,5.973,00000000,
12:51:50.348,10,10,0x000a,setSeatHeatingStatusAttribute,setter,0000000701000100010001,11,True,0x80,0x00,normal_response,26.927,0000000701000100010001,
12:51:50.355,11,11,0x000b,getSeatHeatingLevelAttribute,getter,,0,True,0x80,0x00,normal_response,6.608,00000000,
12:51:50.383,12,12,0x000c,setSeatHeatingLevelAttribute,setter,0000000701020300010203,11,True,0x80,0x00,normal_response,27.100,0000000701020300010203,
12:51:50.392,13,13,0x000d,initTirePressureCalibration,method,,0,True,0x80,0x00,normal_response,7.526,,
12:51:50.400,14,14,0x000e,changeDoorsState,method,01010101,4,True,0x80,0x00,normal_response,7.424,,
