source_file,setter_method_id,getter_method_id,setter_payload_hex,expected_after_payload_hex,before_payload_hex,after_payload_hex,state_changed,target_state_reached,setter_retcode,after_retcode,latency_ms
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,20.692
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,20.257
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,19.953
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,20.440
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,22.137
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,19.996
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,20.306
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,19.812
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,20.909
baseline_seat_heating_payloads_manual_20260505_1737.csv,10,9,0000000701000100010001,0000000701000100010001,0000000701000100010001,0000000701000100010001,False,True,0x00,0x00,19.976
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,20.403
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,20.650
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,20.100
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,20.836
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,20.246
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,21.349
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,20.836
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,19.854
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,20.238
baseline_seat_heating_payloads_manual_20260505_1737.csv,12,11,0000000701020300010203,0000000701020300010203,0000000701020300010203,0000000701020300010203,False,True,0x00,0x00,20.046
