source_file,method_id,count,message_type_distribution,return_code_distribution,request_count,response_count,getter_setter_method_guess
data/playground_someip_only.pcap,0x00000001,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(consumption)
data/playground_someip_only.pcap,0x00000002,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(capacity)
data/playground_someip_only.pcap,0x00000003,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(volume)
data/playground_someip_only.pcap,0x00000004,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(engineSpeed)
data/playground_someip_only.pcap,0x00000005,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(currentGear)
data/playground_someip_only.pcap,0x00000006,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(isReverseGearOn)
data/playground_someip_only.pcap,0x00000007,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(drivePowerTransmission)
data/playground_someip_only.pcap,0x00000008,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(doorsOpeningStatus)
data/playground_someip_only.pcap,0x00000009,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(seatHeatingStatus)
data/playground_someip_only.pcap,0x0000000b,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(seatHeatingLevel)
data/playground_someip_only.pcap,0x0000800a,10,0x00000002=10,0x00000000=10,0,0,event/currentTankVolume?
data/playground_someip_only.pcapng,0x00000001,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(consumption)
data/playground_someip_only.pcapng,0x00000002,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(capacity)
data/playground_someip_only.pcapng,0x00000003,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(volume)
data/playground_someip_only.pcapng,0x00000004,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(engineSpeed)
data/playground_someip_only.pcapng,0x00000005,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(currentGear)
data/playground_someip_only.pcapng,0x00000006,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(isReverseGearOn)
data/playground_someip_only.pcapng,0x00000007,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(drivePowerTransmission)
data/playground_someip_only.pcapng,0x00000008,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(doorsOpeningStatus)
data/playground_someip_only.pcapng,0x00000009,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(seatHeatingStatus)
data/playground_someip_only.pcapng,0x0000000b,20,0x00000000=10;0x00000080=10,0x00000000=20,10,10,getter(seatHeatingLevel)
data/playground_someip_only.pcapng,0x0000800a,10,0x00000002=10,0x00000000=10,0,0,event/currentTankVolume?
