timestamp,candidate_index,trial_index,method_id,payload_hex,payload_len,response_received,msg_type,retcode,verdict,latency_ms,error
13:27:25.935,1,1,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,42.493,
13:27:25.978,1,2,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.527,
13:27:25.985,1,3,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.500,
13:27:25.992,1,4,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.144,
13:27:25.999,1,5,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.200,
13:27:26.005,1,6,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.329,
13:27:26.012,1,7,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.493,
13:27:26.019,1,8,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.569,
13:27:26.027,1,9,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.446,
13:27:26.034,1,10,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.148,
13:27:26.041,1,11,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.354,
13:27:26.047,1,12,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.129,
13:27:26.054,1,13,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.225,
13:27:26.061,1,14,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.237,
13:27:26.068,1,15,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.152,
13:27:26.074,1,16,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.387,
13:27:26.081,1,17,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.740,
13:27:26.089,1,18,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.232,
13:27:26.096,1,19,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.193,
13:27:26.102,1,20,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,7.262,
13:27:26.110,1,21,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.712,
13:27:26.118,1,22,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.180,
13:27:26.124,1,23,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.211,
13:27:26.131,1,24,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.254,
13:27:26.138,1,25,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.390,
13:27:26.145,1,26,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.083,
13:27:26.152,1,27,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.447,
13:27:26.159,1,28,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.381,
13:27:26.166,1,29,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.335,
13:27:26.172,1,30,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.178,
