setter_method_id,getter_method_id,payload_hex,trials,normal_response_count,state_changed_count,reproducible_state_changed,avg_latency_ms
10,9,00000000,3,3,0,False,20.184
10,9,00000000000000000000000000000000,3,3,0,False,20.683
10,9,000000000000000000000000000000000000000000000000,3,3,0,False,21.518
10,9,0000000000000000000000000000000000000000000000000000000000000000,3,3,0,False,20.083
10,9,00000000000000000000000000000000000000000000000000000000000100000000,3,3,0,False,20.421
10,9,00000000000000000000000000000000000000000000000000000001,3,3,0,False,19.990
10,9,0000000000000000000000000000000000000000000000000000000100000000,3,3,0,False,20.303
10,9,0000000000000000000000000000000000000000000000000001,3,3,0,False,20.068
10,9,000000000000000000000000000000000000000000000000000100000000,3,3,0,False,20.225
10,9,0000000000000000000000000000000000000000000000000001000000000000,3,3,0,False,20.963
10,9,00000000000000000000000000000000000000000000000000010000000000000000,3,3,0,False,20.197
10,9,000000000000000000000000000000000000000000000001,3,3,1,False,25.045
10,9,0000000000000000000000000000000000000000000000010000,3,3,0,False,20.224
10,9,00000000000000000000000000000000000000000000000100000000,3,3,0,False,20.724
10,9,000000000000000000000000000000000000000000000001000000000000,3,3,0,False,20.361
10,9,0000000000000000000000000000000000000000000000010000000000000000,3,3,0,False,20.771
10,9,00000000000000000000000000000001,3,3,0,False,20.580
10,9,00000000b40000640000000000000000,3,3,0,False,20.732
12,11,00000000,3,3,0,False,20.528
12,11,00000000000000000000000000000000,3,3,0,False,19.967
12,11,000000000000000000000000000000000000000000000000,3,3,0,False,20.439
12,11,0000000000000000000000000000000000000000b40000640000000000000000,3,3,0,False,20.160
12,11,00000000000000000000000000000001,3,3,0,False,20.316
12,11,000000000000000000000000b40000640000000000000000,3,3,0,False,20.461
12,11,0000000000000000b40000640000000000000000,3,3,0,False,21.395
12,11,000000000000b40000640000000000000000,3,3,0,False,20.376
12,11,00000000b40000640000000000000000,3,3,1,False,20.749
12,11,00000000b400006400000000000000000000,3,3,0,False,20.659
12,11,00000000b4000064000000000000000000000000,3,3,0,False,21.068
