timestamp,thread_index,test_id,mode,target_field,target_value,payload_label,req_payload_len,req_payload_hex,req_service_id,req_method_id,req_session_id,response_received,response_time_ms,rsp_method_id,rsp_session_id,rsp_client_id,rsp_msg_type,rsp_retcode,verdict,req_method_id_dec,rsp_method_id_dec
12:53:24.929,0,1,fuzz,method_id,10,empty,0,,0xff40,0x000a,0x0010,True,86.55,0x000a,0x0010,0x1343,0x81,0x09,error_response,10,10
12:53:25.977,0,2,fuzz,method_id,10,zero_1,1,00,0xff40,0x000a,0x0011,True,44.84,0x000a,0x0011,0x1343,0x81,0x09,error_response,10,10
12:53:27.029,0,3,fuzz,method_id,10,zero_2,2,0000,0xff40,0x000a,0x0012,True,49.38,0x000a,0x0012,0x1343,0x81,0x09,error_response,10,10
12:53:28.073,0,4,fuzz,method_id,10,ff_1,1,ff,0xff40,0x000a,0x0013,True,40.95,0x000a,0x0013,0x1343,0x81,0x09,error_response,10,10
12:53:29.133,0,5,fuzz,method_id,10,inc_4,4,01020304,0xff40,0x000a,0x0014,True,56.59,0x000a,0x0014,0x1343,0x81,0x09,error_response,10,10
12:53:30.185,0,6,fuzz,method_id,10,ff_4,4,ffffffff,0xff40,0x000a,0x0015,True,48.73,0x000a,0x0015,0x1343,0x81,0x09,error_response,10,10
12:53:31.233,0,7,fuzz,method_id,12,empty,0,,0xff40,0x000c,0x0016,True,45.38,0x000c,0x0016,0x1343,0x81,0x09,error_response,12,12
12:53:32.273,0,8,fuzz,method_id,12,zero_1,1,00,0xff40,0x000c,0x0017,True,37.45,0x000c,0x0017,0x1343,0x81,0x09,error_response,12,12
12:53:33.341,0,9,fuzz,method_id,12,zero_2,2,0000,0xff40,0x000c,0x0018,True,63.86,0x000c,0x0018,0x1343,0x81,0x09,error_response,12,12
12:53:34.401,0,10,fuzz,method_id,12,ff_1,1,ff,0xff40,0x000c,0x0019,True,54.46,0x000c,0x0019,0x1343,0x81,0x09,error_response,12,12
12:53:35.453,0,11,fuzz,method_id,12,inc_4,4,01020304,0xff40,0x000c,0x001a,True,49.55,0x000c,0x001a,0x1343,0x81,0x09,error_response,12,12
12:53:36.497,0,12,fuzz,method_id,12,ff_4,4,ffffffff,0xff40,0x000c,0x001b,True,41.30,0x000c,0x001b,0x1343,0x81,0x09,error_response,12,12
